SRNo,Sno,StateCD,DistrictCD,BlockCode,SubDistrictCD,VillageCode,LabType,LabName,districtnm,blockNameEng,Email,Mobile,MNTF,BTF,STF,Prsn_Soil,Prsn_Technical,Prsn_Supporting,An_Routine,An_Full,Sa_Routine,Sa_Full,Charges_Full_Actual,Charges_Full_Charged,Charges_Routine_Actual,Charges_Routine_Charged,Govt_Funding,Static_Mobile,Status,Town_Village_Name,SubDistName,statenm,address,lat,long
26,1899,01,0107,4953,05067,7829,Govt,AGRICUTURE MARKETING COMMITTEE(A.M.C) Narasaraopet,GUNTUR,NARASARAOPETA                                     ,praveena.godavarthi00@gmail.com,8464959370,Yes,No,Yes,1,1,1,2000,2000,2500,2500,0,0,0,0,State Government Scheme,Static,Complete,Narasaraopet ,Narasaraopet,ANDHRA PRADESH,NARASARAOPETA Narasaraopet GUNTUR ANDHRA PRADESH,16.2353506,80.0479039
27,1702,01,0107,4953,05067,7829,Govt,"AMC, STL, Narasaraopet",GUNTUR,NARASARAOPETA                                     ,praveena.godavarthi00@gmail.com,8464959370,Yes,No,Yes,1,1,2,2000,0,4130,0,130,30,75,10,State Government Scheme,Static,Complete,Narasaraopet ,Narasaraopet,ANDHRA PRADESH,NARASARAOPETA Narasaraopet GUNTUR ANDHRA PRADESH,16.2353506,80.0479039
28,1679,01,0107,4926,05093,7862,Govt,"MSTL, Bapatla",GUNTUR,BAPATLA                                           ,adamstl123@gmail.com,8886614140,No,No,Yes,1,1,3,6000,0,6788,0,130,30,75,10,State Government Scheme,Mobile,Complete,Bapatla ,Bapatla,ANDHRA PRADESH,BAPATLA Bapatla GUNTUR ANDHRA PRADESH,15.9039445,80.46713749999999
29,1518,01,0107,4926,05093,7862,Govt,Regional Soil Testing Laboratory,GUNTUR,BAPATLA                                           ,ddarstl@yahoo.com,8886614120,Yes,No,Yes,1,4,2,10000,10000,7202,4310,130,30,75,10,State Government Scheme,Static,Complete,Bapatla ,Bapatla,ANDHRA PRADESH,BAPATLA Bapatla GUNTUR ANDHRA PRADESH,15.9039445,80.46713749999999
30,1527,01,0107,4937,05074,134025,Govt,"STL, Guntur",GUNTUR,GUNTUR                                            ,adastlguntur@yahoo.in,8886614146,Yes,No,Yes,1,3,1,8000,4100,10207,2876,130,30,75,10,State Government Scheme,Static,Complete,Guntur ,Guntur,ANDHRA PRADESH,GUNTUR Guntur GUNTUR ANDHRA PRADESH,16.3066525,80.4365402
31,1700,01,0106,5111,05021,104326,Govt,"AMC, STL, Gudivada",KRISHNA,GUDIVADA                                          ,adagdv@gmail.com,8886613300,No,No,No,1,1,1,2000,0,4203,0,130,30,75,10,State Government Scheme,Static,Complete,Gudivada ,Gudivada,ANDHRA PRADESH,GUDIVADA Gudivada KRISHNA ANDHRA PRADESH,16.4410255,80.9926327
32,1698,01,0106,5122,05034,7785,Govt,"AMC, STL, Machilipatnam",KRISHNA,MACHILIPATNAM                                     ,adagrimtm@gmail.com,8886613303,No,No,Yes,1,1,0,2000,0,4014,0,130,30,75,10,State Government Scheme,Static,Complete,Machilipatnam ,Machilipatnam,ANDHRA PRADESH,MACHILIPATNAM Machilipatnam KRISHNA ANDHRA PRADESH,16.1905457,81.1361543
33,1701,01,0106,5130,04993,48769,Govt,"AMC, STL, Nandigama",KRISHNA,NANDIGAMA                                         ,adandg@gmail.com,8886613307,Yes,No,Yes,0,1,0,2000,0,3401,0,130,30,75,10,State Government Scheme,Static,Complete,Nandigama,Nandigama,ANDHRA PRADESH,NANDIGAMA Nandigama KRISHNA ANDHRA PRADESH,16.7725089,80.285935
34,1699,01,0106,5132,05003,7746,Govt,"AMC, STL, Nuzvid",KRISHNA,NUZVID                                            ,ada.nzd@gmail.com,8886613308,Yes,No,Yes,1,1,0,2000,0,4086,0,130,30,75,10,State Government Scheme,Static,Complete,Nuzvid ,Nuzvid,ANDHRA PRADESH,NUZVID Nuzvid KRISHNA ANDHRA PRADESH,16.7849906,80.8488498
35,1526,01,0106,5145,05011,118112,Govt,"STL, Vijayawada",KRISHNA,VIJAYAWADA RURAL                                  ,adastlvza@gmail.com,8886613319,Yes,No,Yes,1,3,2,8000,4100,6804,2564,130,30,75,10,State Government Scheme,Static,Complete,Gollapudi ,Vijayawada (Rural),ANDHRA PRADESH,VIJAYAWADA RURAL Vijayawada (Rural) KRISHNA ANDHRA PRADESH,16.5061743,80.6480153
36,1707,01,0110,5178,05259,8071,Govt,"AMC, STL, Kurnool",KURNOOL,KURNOOL                                           ,stlamcknl@gmail.com,9440512580,Yes,No,Yes,1,1,2,2000,800,1246,0,130,30,75,10,State Government Scheme,Static,Complete,Kurnool ,Kurnool,ANDHRA PRADESH,KURNOOL Kurnool KURNOOL ANDHRA PRADESH,15.8281257,78.0372792
37,1708,01,0110,5185,05284,8100,Govt,"AMC, STL, Nandyal",KURNOOL,NANDYAL                                           ,mcreddy988@gmail.com,9885253759,Yes,No,Yes,1,1,1,2000,800,4695,0,130,30,75,10,State Government Scheme,Static,Complete,Nandyal ,Nandyal,ANDHRA PRADESH,NANDYAL Nandyal KURNOOL ANDHRA PRADESH,15.4785694,78.4830934
38,98,01,0110,5154,05288,496724,KVK,kvk lab,KURNOOL,BANAGANAPALLE                                     ,Pendekantikvk@gmail.com,9440607424,Yes,Yes,Yes,1,1,2,600,2000,600,1500,650,650,150,150,ICAR,Static,Complete,Yagantipalle,Banaganapalle,ANDHRA PRADESH,BANAGANAPALLE Banaganapalle KURNOOL ANDHRA PRADESH,15.3181028,78.225545
39,1535,01,0110,5161,05289,8107,Govt,"STL, Dhone",KURNOOL,DHONE ALIAS DRONACHALAM                           ,madhumathi15907@gmail.com,7799882321,Yes,No,Yes,1,1,2,6500,4100,2498,1498,130,30,75,10,NPMSF,Static,Complete,Dhone ,Dhone,ANDHRA PRADESH,DHONE ALIAS DRONACHALAM Dhone KURNOOL ANDHRA PRADESH,,
40,1534,01,0110,5202,05271,8085,Govt,"STL, Yemmiganur",KURNOOL,YEMMIGANUR                                        ,ymgrstl@gmail.com,8886613974,Yes,No,Yes,1,4,3,8000,4100,7195,3125,130,30,75,10,State Government Scheme,Static,Complete,Adoni ,Adoni,ANDHRA PRADESH,YEMMIGANUR Adoni KURNOOL ANDHRA PRADESH,15.6665611,77.3832812
41,1718,01,0109,5386,05184,7972,Govt,"AMC, STL, Gudur",NELLORE,GUDUR                                             , ,8886613641,No,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Gudur ,Gudur,ANDHRA PRADESH,GUDUR Gudur NELLORE ANDHRA PRADESH,14.1463188,79.8503887
42,1719,01,0109,5391,05158,7941,Govt,"AMC, STL, Kavali",NELLORE,KAVALI                                            , ,8886613641,No,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Kavali ,Kavali,ANDHRA PRADESH,KAVALI Kavali NELLORE ANDHRA PRADESH,14.9131806,79.9929798
43,122,01,0109,5400,05177,7962,KVK,"KVK, Nellore",NELLORE,NELLORE                                           ,kvknellore@gmail.com,9989623828,No,No,Yes,0,1,1,1000,0,600,0,0,0,50,50,ANGRAU/ICAR,Static,Complete,Nellore ,Nellore,ANDHRA PRADESH,NELLORE Nellore NELLORE ANDHRA PRADESH,14.4425987,79.98645599999999
44,123,01,0109,5400,05177,7962,KVK,"KVK, Nellore",NELLORE,NELLORE                                           ,kvknellore@gmail.com,9989623828,No,No,Yes,0,1,1,1000,0,600,0,0,0,50,50,ANGRAU/ICAR,Static,Complete,Nellore ,Nellore,ANDHRA PRADESH,NELLORE Nellore NELLORE ANDHRA PRADESH,14.4425987,79.98645599999999
45,1529,01,0109,5400,05177,7963,Govt,"STL, Nellore",NELLORE,NELLORE                                           ,adastl_nlr@yahoo.in,8886613641,Yes,No,Yes,1,4,1,9500,6500,14126,4565,130,30,75,10,State Government Scheme,Static,Complete,Nellore ,Nellore,ANDHRA PRADESH,NELLORE Nellore NELLORE ANDHRA PRADESH,14.4425987,79.98645599999999
46,1530,01,0109,5400,05177,7963,Govt,"STL, Nellore",NELLORE,NELLORE                                           ,adastl_nlr@yahoo.in,8886613641,Yes,No,Yes,0,0,0,8000,4100, , , , , , ,NPMSF,Static,Under Progress,Nellore ,Nellore,ANDHRA PRADESH,NELLORE Nellore NELLORE ANDHRA PRADESH,14.4425987,79.98645599999999
47,1704,01,0108,5471,05148,7929,Govt,"AMC, STL, Kandukur",PRAKASAM,KANDUKUR                                          ,gitaprakashagrico@gmail.com,7702326947,Yes,No,Yes,1,1,0,2000,0,980,0,130,30,75,10,State Government Scheme,Static,Complete,Kandukur ,Kandukur,ANDHRA PRADESH,KANDUKUR Kandukur PRAKASAM ANDHRA PRADESH,15.219717,79.9024779
48,1703,01,0108,5482,05115,7887,Govt,"AMC, STL, Markapur",PRAKASAM,MARKAPUR                                          ,aokprl@gmail.com,9030203066,No,No,No,0,1,0,2000,0,2000,0,130,0,75,0,State Government Scheme,Static,Complete,Markapur ,Markapur,ANDHRA PRADESH,MARKAPUR Markapur PRAKASAM ANDHRA PRADESH,15.7361535,79.269125
49,1898,01,0108,5471,05148,7929,Govt,kandukur,PRAKASAM,KANDUKUR                                          ,gitaprakashagrico@gmail.com,7702326947,Yes,No,Yes,1,0,1,2000,1000,2000,2000,0,0,0,0,State Government Scheme,Static,Complete,Kandukur ,Kandukur,ANDHRA PRADESH,KANDUKUR Kandukur PRAKASAM ANDHRA PRADESH,15.219717,79.9024779
50,127,01,0108,5463,05114,91122,KVK,soil testing lab,PRAKASAM,DARSI                                             ,angraukvkdarsi@gmail.com,9989623827,No,Yes,Yes,1,1,0,800,800,2500,2500,25,25,25,25,icar,Static,Complete,Darsi,Darsi,ANDHRA PRADESH,DARSI Darsi PRAKASAM ANDHRA PRADESH,15.7699955,79.6794474
51,1528,01,0108,5487,05139,7918,Govt,"STL, Ongole",PRAKASAM,ONGOLE                                            ,adastlongole@gmail.com,8886612924,Yes,No,Yes,1,3,2,8000,4100,7645,2465,130,30,75,10,State Government Scheme,Static,Complete,Ongole ,Ongole,ANDHRA PRADESH,ONGOLE Ongole PRAKASAM ANDHRA PRADESH,15.5057232,80.049922
52,1709,01,0101,5562,04784,103878,Govt,"AMC, STL, Palakonda",SRIKAKULAM,PALAKONDA                                         , ,8886613986,No,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Palakonda ,Palakonda,ANDHRA PRADESH,PALAKONDA Palakonda SRIKAKULAM ANDHRA PRADESH,18.6006737,83.7575774
53,1710,01,0101,5563,04789,91986,Govt,"AMC, STL, Palasa",SRIKAKULAM,PALASA                                            , ,8886613986,No,No,No,00,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Tekkali ,Tekkali,ANDHRA PRADESH,PALASA Tekkali SRIKAKULAM ANDHRA PRADESH,18.6057678,84.2301531
54,146,01,0101,5543,04798,7485,KVK,SOIL TESTING LABORATORY,SRIKAKULAM,AMADALAVALASA                                     ,kvk_adv2006@yahoo.co.in,9989623822,No,No,Yes,0,1,0,750,0,270,0,0,0,100,25,ICAR,Static,Complete,Amadalavalasa ,Amadalavalasa,ANDHRA PRADESH,AMADALAVALASA Amadalavalasa SRIKAKULAM ANDHRA PRADESH,18.4101166,83.902951
55,1519,01,0101,5543,04798,7485,Govt,STL Amadalavalasa,SRIKAKULAM,AMADALAVALASA                                     ,adastlskm@gmail.com,8886613986,Yes,No,Yes,1,4,2,8000,4000,11748,2435,130,30,75,10,State Government Scheme,Static,Complete,Amadalavalasa ,Amadalavalasa,ANDHRA PRADESH,AMADALAVALASA Amadalavalasa SRIKAKULAM ANDHRA PRADESH,18.4101166,83.902951
56,1713,01,0103,5607,04854,447520,Govt,"AMC, STL, Narsipatnam",VISAKHAPATNAM,NARSIPATNAM                                       , ,8886613800,No,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Narsipatnam ,Narsipatnam,ANDHRA PRADESH,NARSIPATNAM Narsipatnam VISAKHAPATNAM ANDHRA PRADESH,17.666433,82.6105228
57,1714,01,0103,5609,04847,362571,Govt,"AMC, STL, Paderu",VISAKHAPATNAM,PADERU                                            , ,8886613800,No,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,14 Mile Stone,Paderu,ANDHRA PRADESH,PADERU Paderu VISAKHAPATNAM ANDHRA PRADESH,18.0805802,82.66454689999999
58,258,01,0103,5616,04883,547397,KVK,KVK Soil TEsting LAb,VISAKHAPATNAM,RAMBILLI                                          ,vizag.kvk@bctindia.org,9440710538,No,No,Yes,1,0,0,500,0,257,0,250,0,100,0,NGO,Static,Complete,Haripuram,Rambilli,ANDHRA PRADESH,RAMBILLI Rambilli VISAKHAPATNAM ANDHRA PRADESH,17.4648711,82.92998759999999
59,1677,01,0103,5621,04866,7569,Govt,"MSTL, Visakhapatnam",VISAKHAPATNAM,VISAKHAPATNAM(RURAL),mstlada@ymail.com,8886613796,Yes,No,Yes,1,3,4,6500,4100,6127,1768,130,30,75,10,NPMSF,Mobile,Complete,GVMC ,Visakhapatnam (Rural),ANDHRA PRADESH,VISAKHAPATNAM(RURAL) Visakhapatnam (Rural) VISAKHAPATNAM ANDHRA PRADESH,17.6868159,83.2184815
60,1362,01,0103,5616,04883,547397,KVK,Soil Testing Lab,VISAKHAPATNAM,RAMBILLI                                          ,vizag.kvk@bctindia.org,9440710538,No,No,Yes,0,1,0,300,1500,274,4500,1000,1000,250,10,ICAR,Static,Complete,Haripuram,Rambilli,ANDHRA PRADESH,RAMBILLI Rambilli VISAKHAPATNAM ANDHRA PRADESH,17.4648711,82.92998759999999
61,1522,01,0103,5582,04871,7579,Govt,"STL, Anakapalle",VISAKHAPATNAM,ANAKAPALLE                                        ,adastlakp@gmail.com,8886613800,Yes,No,Yes,1,4,1,8000,4100,8216,2685,130,30,75,10,State Government Scheme,Static,Complete,Anakapalle ,Anakapalle,ANDHRA PRADESH,ANAKAPALLE Anakapalle VISAKHAPATNAM ANDHRA PRADESH,17.6895915,82.99773309999999
62,1712,01,0102,5648,04812,7504,Govt,"AMC, STL, Parvathipuram",VIZIANAGARM,PARVATHIPURAM                                     , ,8886613734,No,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Parvathipuram ,Parvathipuram,ANDHRA PRADESH,PARVATHIPURAM Parvathipuram VIZIANAGARM ANDHRA PRADESH,18.7817162,83.42675179999999
63,1520,01,0102,5656,04836,7531,Govt,"STL, Vizianagaram",VIZIANAGARM,VIZIANAGARAM                                      ,adastlvzm@rediffmail.com,8886613734,Yes,No,Yes,1,3,2,6500,4100,12964,3510,130,30,75,10,State Government Scheme,Static,Complete,Vizianagaram ,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM Vizianagaram VIZIANAGARM ANDHRA PRADESH,18.1066576,83.39555059999999
64,1521,01,0102,5656,04836,7531,Govt,"STL, Vizianagaram",VIZIANAGARM,VIZIANAGARAM                                      ,adastlvzm@rediffmail.com,8886613734,Yes,No,Yes,0,0,0,3000,2000,886,576,130,30,75,10,NPMSF,Static,Complete,Vizianagaram ,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM Vizianagaram VIZIANAGARM ANDHRA PRADESH,18.1066576,83.39555059999999
65,1716,01,0105,5711,04984,7720,Govt,"AMC, STL, Bhimavaram",WEST GODAVARI,BHIMAVARAM, ,8886613039,No,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Bhimavaram ,Bhimavaram,ANDHRA PRADESH,BHIMAVARAM Bhimavaram WEST GODAVARI ANDHRA PRADESH,16.544893,81.521241
66,1717,01,0105,5723,04953,64170,Govt,"AMC, STL, Jangareddygudem",WEST GODAVARI,JANGAREDDIGUDEM, ,8886613039,No,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Jangareddigudem,Jangareddigudem,ANDHRA PRADESH,JANGAREDDIGUDEM Jangareddigudem WEST GODAVARI ANDHRA PRADESH,17.122319,81.29230869999999
67,121,01,0105,5749,04976,48913,KVK,SOIL TESTING LAB,WEST GODAVARI,UNDI,KVKUNDI@YAHOO.CO.IN,9989623823,No,No,Yes,0,1,0,1000,0,100,0,0,0,24,24,ICAR,Static,Complete,Undi,Undi,ANDHRA PRADESH,UNDI Undi WEST GODAVARI ANDHRA PRADESH,16.5863612,81.46360179999999
68,1524,01,0105,5746,04961,7691,Govt,"STL,Tadepalligudem  ",WEST GODAVARI,TADEPALLIGUDEM,adasoiltpg@gmail.com,8886613039,Yes,No,Yes,1,6,2,8000,4100,12384,3685,130,30,75,10,State Government Scheme,Static,Complete,Tadepalligudem ,Tadepalligudem,ANDHRA PRADESH,TADEPALLIGUDEM Tadepalligudem WEST GODAVARI ANDHRA PRADESH,16.8138415,81.521241
69,510,02,0207,2491,02022,2835,KVK,"kvk lab barpeta , howly",BARPETA,BHAWANIPUR                                        ,pckvkbarpeta@gmail.com,0739903468,No,No,No, , , ,500,200, , , , , , ,"RKVY,State Government Scheme",Static,Under Progress,Howli ,Barpeta,ASSAM,BHAWANIPUR Barpeta BARPETA ASSAM,26.4577296,91.0659184
70,70,02,0206,0,02127,303422,KVK,Soil and Water testing Lab,KAMRUP, ,maramidutta@yahoo.com,9957314369,No,No,Yes,1,0,0,0,200,0,200,500,100,500,100,Assam Agricultural University,Static,Complete,Ajukha Gaon,Doom Dooma,ASSAM,Doom Dooma KAMRUP ASSAM,27.5664171,95.55516519999999
